Origem,Destino,Distancia (km),Tempo de Viagem (h)
Praca Arariboia,Estacao das Barcas Charitas,7.81,0.39
Praca Arariboia,UFF - Campus Valonguinho,1.17,0.06
Praca Arariboia,Praia de Icarai,3.37,0.17
Praca Arariboia,Terminal Rodoviario Joao Goulart,2.63,0.13
Praca Arariboia,Praia de Sao Francisco,6.04,0.3
Praca Arariboia,Museu de Arte Contemporanea (MAC),2.8,0.14
Praca Arariboia,Santa Rosa,5.55,0.28
Praca Arariboia,UFF - Campus Praia Vermelha,1.37,0.07
Praca Arariboia,UFF - Campus Gragoata,0.78,0.04
Estacao das Barcas Charitas,Praca Arariboia,7.46,0.37
Estacao das Barcas Charitas,UFF - Campus Valonguinho,8.77,0.44
Estacao das Barcas Charitas,Praia de Icarai,5.54,0.28
Estacao das Barcas Charitas,Terminal Rodoviario Joao Goulart,8.2,0.41
Estacao das Barcas Charitas,Praia de Sao Francisco,3.47,0.17
Estacao das Barcas Charitas,Museu de Arte Contemporanea (MAC),8.12,0.41
Estacao das Barcas Charitas,Santa Rosa,5.63,0.28
Estacao das Barcas Charitas,UFF - Campus Praia Vermelha,8.33,0.42
Estacao das Barcas Charitas,UFF - Campus Gragoata,8.66,0.43
UFF - Campus Valonguinho,Praca Arariboia,0.73,0.04
UFF - Campus Valonguinho,Estacao das Barcas Charitas,6.84,0.34
UFF - Campus Valonguinho,Praia de Icarai,3.23,0.16
UFF - Campus Valonguinho,Terminal Rodoviario Joao Goulart,1.46,0.07
UFF - Campus Valonguinho,Praia de Sao Francisco,5.08,0.25
UFF - Campus Valonguinho,Museu de Arte Contemporanea (MAC),2.16,0.11
UFF - Campus Valonguinho,Santa Rosa,4.38,0.22
UFF - Campus Valonguinho,UFF - Campus Praia Vermelha,1.44,0.07
UFF - Campus Valonguinho,UFF - Campus Gragoata,0.85,0.04
Praia de Icarai,Praca Arariboia,2.96,0.15
Praia de Icarai,Estacao das Barcas Charitas,4.44,0.22
Praia de Icarai,UFF - Campus Valonguinho,3.24,0.16
Praia de Icarai,Terminal Rodoviario Joao Goulart,3.68,0.18
Praia de Icarai,Praia de Sao Francisco,2.68,0.13
Praia de Icarai,Museu de Arte Contemporanea (MAC),2.58,0.13
Praia de Icarai,Santa Rosa,2.6,0.13
Praia de Icarai,UFF - Campus Praia Vermelha,2.79,0.14
Praia de Icarai,UFF - Campus Gragoata,3.12,0.16
Terminal Rodoviario Joao Goulart,Praca Arariboia,1.27,0.06
Terminal Rodoviario Joao Goulart,Estacao das Barcas Charitas,7.65,0.38
Terminal Rodoviario Joao Goulart,UFF - Campus Valonguinho,2.44,0.12
Terminal Rodoviario Joao Goulart,Praia de Icarai,4.03,0.2
Terminal Rodoviario Joao Goulart,Praia de Sao Francisco,5.89,0.29
Terminal Rodoviario Joao Goulart,Museu de Arte Contemporanea (MAC),3.37,0.17
Terminal Rodoviario Joao Goulart,Santa Rosa,5.18,0.26
Terminal Rodoviario Joao Goulart,UFF - Campus Praia Vermelha,2.64,0.13
Terminal Rodoviario Joao Goulart,UFF - Campus Gragoata,2.05,0.1
Praia de Sao Francisco,Praca Arariboia,5.52,0.28
Praia de Sao Francisco,Estacao das Barcas Charitas,1.76,0.09
Praia de Sao Francisco,UFF - Campus Valonguinho,6.83,0.34
Praia de Sao Francisco,Praia de Icarai,3.59,0.18
Praia de Sao Francisco,Terminal Rodoviario Joao Goulart,6.25,0.31
Praia de Sao Francisco,Museu de Arte Contemporanea (MAC),6.18,0.31
Praia de Sao Francisco,Santa Rosa,3.69,0.18
Praia de Sao Francisco,UFF - Campus Praia Vermelha,6.38,0.32
Praia de Sao Francisco,UFF - Campus Gragoata,6.71,0.34
Museu de Arte Contemporanea (MAC),Praca Arariboia,2.21,0.11
Museu de Arte Contemporanea (MAC),Estacao das Barcas Charitas,6.26,0.31
Museu de Arte Contemporanea (MAC),UFF - Campus Valonguinho,2.01,0.1
Museu de Arte Contemporanea (MAC),Praia de Icarai,1.82,0.09
Museu de Arte Contemporanea (MAC),Terminal Rodoviario Joao Goulart,2.93,0.15
Museu de Arte Contemporanea (MAC),Praia de Sao Francisco,4.5,0.23
Museu de Arte Contemporanea (MAC),Santa Rosa,4.42,0.22
Museu de Arte Contemporanea (MAC),UFF - Campus Praia Vermelha,0.89,0.04
Museu de Arte Contemporanea (MAC),UFF - Campus Gragoata,1.9,0.1
Santa Rosa,Praca Arariboia,3.84,0.19
Santa Rosa,Estacao das Barcas Charitas,5.65,0.28
Santa Rosa,UFF - Campus Valonguinho,4.62,0.23
Santa Rosa,Praia de Icarai,3.21,0.16
Santa Rosa,Terminal Rodoviario Joao Goulart,4.57,0.23
Santa Rosa,Praia de Sao Francisco,3.88,0.19
Santa Rosa,Museu de Arte Contemporanea (MAC),3.97,0.2
Santa Rosa,UFF - Campus Praia Vermelha,4.17,0.21
Santa Rosa,UFF - Campus Gragoata,4.5,0.23
UFF - Campus Praia Vermelha,Praca Arariboia,1.85,0.09
UFF - Campus Praia Vermelha,Estacao das Barcas Charitas,6.78,0.34
UFF - Campus Praia Vermelha,UFF - Campus Valonguinho,1.12,0.06
UFF - Campus Praia Vermelha,Praia de Icarai,2.33,0.12
UFF - Campus Praia Vermelha,Terminal Rodoviario Joao Goulart,2.57,0.13
UFF - Campus Praia Vermelha,Praia de Sao Francisco,5.01,0.25
UFF - Campus Praia Vermelha,Museu de Arte Contemporanea (MAC),0.89,0.04
UFF - Campus Praia Vermelha,Santa Rosa,4.93,0.25
UFF - Campus Praia Vermelha,UFF - Campus Gragoata,1.01,0.05
UFF - Campus Gragoata,Praca Arariboia,1.5,0.07
UFF - Campus Gragoata,Estacao das Barcas Charitas,7.37,0.37
UFF - Campus Gragoata,UFF - Campus Valonguinho,0.76,0.04
UFF - Campus Gragoata,Praia de Icarai,2.93,0.15
UFF - Campus Gragoata,Terminal Rodoviario Joao Goulart,2.22,0.11
UFF - Campus Gragoata,Praia de Sao Francisco,5.6,0.28
UFF - Campus Gragoata,Museu de Arte Contemporanea (MAC),2.02,0.1
UFF - Campus Gragoata,Santa Rosa,5.52,0.28
UFF - Campus Gragoata,UFF - Campus Praia Vermelha,0.59,0.03
